ids	maltype	system calls frequency_1gram-scaled
delay_142_2021-11-23	delay	[0.009987110879047188, 25.0, 5.0, -0.4628793001144394, 10.0, 0.6574117238261774, 0.6575805564476515, 0.010176664852646136, 0.0, 10.0, 0.0, 30.0, 0.00030618850320912497, 10.0, 0.009896121227572422, 5.0, 14.813804946376846]
delay_143_2021-11-23	delay	[-0.5222796952583298, 25.0, 5.0, 0.2975984266533156, 10.0, -0.5782561300143951, -0.5781577500426944, -0.522516651136192, 0.0, 10.0, 0.0, 30.0, -0.5285492145313864, 10.0, -0.5225776841067896, 5.0, 13.573619882391215]
delay_144_2021-11-23	delay	[0.850610408071972, 50.0, 10.0, 0.41459500000220095, 20.0, 0.7898047081662387, 0.7789477115493819, 0.8505156535929775, 0.0, 20.0, 0.0, 60.0, 0.8407191515274284, 20.0, 0.8501890193583086, 10.0, 29.109152424996946]
delay_145_2021-11-23	delay	[-0.46427626125617977, 25.0, 5.0, -0.5798758734633248, 10.0, -0.5341251352343747, -0.5340242390966106, -0.4645132156081839, 0.0, 10.0, 0.0, 30.0, -0.4639020635295234, 10.0, -0.4644735037662636, 5.0, 13.66220452981876]
delay_146_2021-11-23	delay	[1.0544754187559995, 50.0, 10.0, -0.5798758734633248, 20.0, 0.9663286872863206, 0.966515133070238, 1.0543806696399467, 0.0, 20.0, 0.0, 60.0, 1.0626048569015647, 20.0, 1.0542189655922165, 10.0, 29.30846788170892]
delay_147_2021-11-23	delay	[0.706028318904848, 25.0, 5.0, 0.7655847200488571, 10.0, 0.6353462264361672, 0.6355138009746096, 0.706217891188742, 0.0, 10.0, 0.0, 30.0, 0.6959929489619673, 10.0, 0.7062591985911278, 5.0, 14.79165878451996]
delay_148_2021-11-23	delay	[-1.7612501053777851, 25.0, 5.0, -0.5798758734633248, 10.0, -1.3726140360547632, -1.3725609470722024, -1.7609184327157938, 0.0, 10.0, 0.0, 30.0, -1.7635183378637502, 10.0, -1.7609507490743352, 5.0, 12.809577298328637]
delay_149_2021-11-23	delay	[1.1265532154204358, 25.0, 5.0, 0.005106993281102121, 10.0, 1.0545906768463615, 1.0547821549624055, 1.1264584682004861, 0.0, 10.0, 0.0, 30.0, 1.117242126457978, 10.0, 1.1265165334968406, 5.0, 15.2124358598008]
delay_14_2021-11-23	delay	[0.5806385424590236, 50.0, 10.0, -0.5798758734633248, 20.0, 1.010459682066341, 1.0106486440163218, 0.5802594503117442, 0.0, 20.0, 0.0, 60.0, 0.5975624480817113, 20.0, 0.5805146556404477, 10.0, 29.352760205422694]
delay_150_2021-11-23	delay	[1.0915805566838455, 25.0, 5.0, -0.5798758734633248, 10.0, 1.010459682066341, 1.0106486440163218, 1.09162797382705, 0.0, 10.0, 0.0, 30.0, 1.0809563062182226, 10.0, 1.0916983796286628, 5.0, 15.168143536087028]
