ids	maltype	system calls frequency_1gram-scaled
delay_144_2021-11-30	delay	[0.0, 25.0, 5.0, 0.794268629776848, 10.0, -0.0616308736736346, 0.0, -0.05381559517609158, 0.0, 10.0, 0.0, 30.0, -0.005664174003484902, 10.0, -0.05043176309571158, 5.0, 13.886323845116035]
delay_145_2021-11-30	delay	[0.0, 25.0, 5.0, 3.478920272599339, 10.0, 0.5422957691943827, 0.0, 0.5426942695243804, 0.0, 10.0, 0.0, 30.0, 0.5431541956844786, 10.0, 0.5467936729949099, 5.0, 14.541555233979615]
delay_146_2021-11-30	delay	[0.0, 25.0, 5.0, 2.832615247475406, 10.0, -0.08176176176923518, 0.0, -0.06353284970531299, 0.0, 10.0, 0.0, 30.0, -0.06450579287090649, 10.0, -0.06009365083833033, 5.0, 14.100968610433414]
delay_147_2021-11-30	delay	[0.0, 25.0, 5.0, 3.230341416782442, 10.0, 1.1260915239667995, 0.0, 1.131948584176367, 0.0, 10.0, 0.0, 30.0, 1.1230587036420234, 10.0, 1.1313378814233441, 5.0, 15.34364883069193]
delay_148_2021-11-30	delay	[0.0, 25.0, 5.0, 0.19767937581629444, 10.0, 0.01889267870876771, 0.0, 0.01783296155270099, 0.0, 10.0, 0.0, 30.0, -0.006034247078122773, 10.0, 0.015591136478849871, 5.0, 14.552852326891056]
delay_149_2021-11-30	delay	[0.0, 50.0, 10.0, 0.5456897739599507, 20.0, 0.6630810977679862, 0.0, 0.6498431961332618, 0.0, 20.0, 0.0, 60.0, 0.6871126217186108, 20.0, 0.6536783061476298, 10.0, 29.408529505436018]
delay_14_2021-11-30	delay	[0.0, 25.0, 5.0, -0.5480571916343975, 10.0, 0.8039973144371902, 0.0, 0.8077809730815406, 0.0, 10.0, 0.0, 30.0, 0.8110871017222977, 10.0, 0.8074633527176448, 5.0, 15.072518600817343]
delay_150_2021-11-30	delay	[0.0, 25.0, 5.0, -0.8463518186146742, 10.0, -1.2694841594096693, 0.0, -1.2693793550848291, 0.0, 10.0, 0.0, 30.0, -1.258731604727318, 10.0, -1.269641222617415, 5.0, 13.490925593215598]
delay_151_2021-11-30	delay	[0.0, 25.0, 5.0, 1.8880155953711961, 10.0, 0.3812486644295781, 0.0, 0.3778896327087852, 0.0, 10.0, 0.0, 30.0, 0.43657315018877163, 10.0, 0.38234029204241987, 5.0, 14.654526163094026]
delay_152_2021-11-30	delay	[0.0, 25.0, 5.0, 0.4959740027965712, 10.0, -0.806473733210856, 0.0, -0.800748559988911, 0.0, 10.0, 0.0, 30.0, -0.8176044997589752, 10.0, -0.8018448244122905, 5.0, 13.682976172710097]
delay_153_2021-11-30	delay	[0.0, 25.0, 5.0, 2.2360259935148523, 10.0, 1.528709285878811, 0.0, 1.5421462887032338, 0.0, 10.0, 0.0, 30.0, 1.5316193780422338, 10.0, 1.542974557124497, 5.0, 15.976286033732627]
delay_154_2021-11-30	delay	[0.0, 25.0, 5.0, -0.15033102232736179, 10.0, -0.12202353796043633, 0.0, -0.11315562950120368, 0.0, 10.0, 0.0, 30.0, -0.1673861076202348, 10.0, -0.11585079468635935, 5.0, 14.665823256005467]
delay_155_2021-11-30	delay	[0.0, 25.0, 5.0, -0.44862564930763854, 10.0, 0.8039973144371902, 0.0, 0.8080400998689865, 0.0, 10.0, 0.0, 30.0, 0.8059060786773675, 10.0, 0.8078659313735873, 5.0, 15.445322666894898]
delay_156_2021-11-30	delay	[0.0, 25.0, 5.0, 0.19767937581629444, 10.0, 1.5891019501656127, 0.0, 1.5863274059627603, 0.0, 10.0, 0.0, 30.0, 1.5678865393567452, 10.0, 1.5866543412942526, 5.0, 15.58088778183219]
delay_157_2021-11-30	delay	[0.0, 25.0, 5.0, -0.498341420471018, 10.0, 0.059154454899968865, 0.0, 0.06616010741136216, 0.0, 10.0, 0.0, 30.0, 0.045035837221903505, 10.0, 0.06732249376745442, 5.0, 14.541555233979615]
delay_158_2021-11-30	delay	[0.0, 50.0, 10.0, -0.6474887339611564, 20.0, 0.5825575453855839, 0.0, 0.5946491904072843, 0.0, 20.0, 0.0, 60.0, 0.6138381529403122, 20.0, 0.5961095583478597, 10.0, 29.34074694796737]
delay_159_2021-11-30	delay	[0.0, 25.0, 5.0, -0.29947833581750016, 10.0, 1.5689710620700121, 0.0, 1.5635242486675207, 0.0, 10.0, 0.0, 30.0, 1.5615952970879012, 10.0, 1.5639086472335044, 5.0, 16.168336613227126]
delay_15_2021-11-30	delay	[0.0, 25.0, 5.0, -0.20004679349074125, 10.0, -0.1421544260560369, 0.0, -0.1372544207336728, 0.0, 10.0, 0.0, 30.0, -0.12741821555934466, 10.0, -0.13759004210725154, 5.0, 14.530258141068174]
delay_160_2021-11-30	delay	[0.0, 25.0, 5.0, -0.7966360474512948, 10.0, 0.17993978347357234, 0.0, 0.18419235909297163, 0.0, 10.0, 0.0, 30.0, 0.19269499400241427, 10.0, 0.1840703039907643, 5.0, 14.846576742588523]
delay_161_2021-11-30	delay	[0.0, 25.0, 5.0, 0.5456897739599507, 10.0, 0.1195471191867706, 0.0, 0.1270549024611497, 0.0, 10.0, 0.0, 30.0, 0.14199498277702585, 10.0, 0.12891702812664896, 5.0, 14.49636686233385]
delay_162_2021-11-30	delay	[0.0, 25.0, 5.0, 0.7445528586134685, 10.0, 1.1059606358711989, 0.0, 1.1039628911322092, 0.0, 10.0, 0.0, 30.0, 1.130090092060143, 10.0, 1.1065792940828836, 5.0, 15.309757551957606]
delay_163_2021-11-30	delay	[0.0, 25.0, 5.0, -0.498341420471018, 10.0, 0.07928534299556944, 0.0, 0.06667836098625397, 0.0, 10.0, 0.0, 30.0, 0.09647599459656765, 10.0, 0.07094570167093646, 5.0, 14.451178490688086]
delay_164_2021-11-30	delay	[0.0, 10.0, 5.0, -0.9457833609414331, 10.0, -0.8467355094020571, 0.0, -0.8393584513183507, 0.0, 10.0, 0.0, 20.0, -0.858682611043779, 10.0, -0.840894954038708, 5.0, -0.5626579886170493]
delay_165_2021-11-30	delay	[0.0, 25.0, 5.0, -0.9457833609414331, 10.0, -0.5447721879680485, 0.0, -0.5451199841735264, 0.0, 10.0, 0.0, 30.0, -0.4841686595102529, 10.0, -0.538960962081872, 5.0, 13.61519361524145]
delay_166_2021-11-30	delay	[0.0, 25.0, 5.0, 0.2473951469796739, 10.0, -0.806473733210856, 0.0, -0.8050241519817685, 0.0, 10.0, 0.0, 30.0, -0.8024315036988224, 10.0, -0.8064744789556286, 5.0, 13.581302336507127]
delay_167_2021-11-30	delay	[0.0, 25.0, 5.0, -0.7966360474512948, 10.0, -0.28307064272524096, 0.0, -0.280292407403812, 0.0, 10.0, 0.0, 30.0, -0.25509342630941034, 10.0, -0.27668096773536727, 5.0, 14.04448314587621]
delay_168_2021-11-30	delay	[0.0, 25.0, 5.0, 0.19767937581629444, 10.0, -0.20254709034283863, 0.0, -0.18972759519146845, 0.0, 10.0, 0.0, 30.0, -0.17404742296371647, 10.0, -0.18992526737976975, 5.0, 14.665823256005467]
delay_169_2021-11-30	delay	[0.0, 25.0, 5.0, 1.987447137697955, 10.0, 0.3611177763339775, 0.0, 0.3603985745561866, 0.0, 10.0, 0.0, 30.0, 0.3729205813510577, 10.0, 0.36221135924529746, 5.0, 14.620634884359703]
delay_16_2021-11-30	delay	[0.0, 25.0, 5.0, 0.048532062326156054, 10.0, 0.763735538245989, 0.0, 0.7760379416194173, 0.0, 10.0, 0.0, 30.0, 0.7692688442882182, 10.0, 0.77706866419399, 5.0, 14.92565639296861]
delay_170_2021-11-30	delay	[0.0, 25.0, 5.0, -0.7966360474512948, 10.0, 0.26046333585597464, 0.0, 0.2707407060999037, 0.0, 10.0, 0.0, 30.0, 0.274111070422746, 10.0, 0.27203374031418914, 5.0, 14.304316282839354]
delay_171_2021-11-30	delay	[0.0, 50.0, 10.0, -0.8960675897780537, 20.0, 1.0858297477755983, 0.0, 1.0978734116272306, 0.0, 20.0, 0.0, 60.0, 1.1337908228065217, 20.0, 1.0999367462598333, 10.0, 30.233217287971215]
delay_172_2021-11-30	delay	[0.0, 25.0, 5.0, -0.8960675897780537, 10.0, -0.6051648522548502, 0.0, -0.5903376085828367, 0.0, 10.0, 0.0, 30.0, -0.6399694239327968, 10.0, -0.5949193952578723, 5.0, 14.315613375750795]
delay_173_2021-11-30	delay	[0.0, 25.0, 5.0, -1.0949306744315714, 10.0, -1.1486988308360657, 0.0, -1.1610643579324411, 0.0, 10.0, 0.0, 30.0, -1.1713943591127804, 10.0, -1.1621527214807814, 5.0, 13.592599429418568]
