ids	maltype	system calls tfidf_1gram-scaled
delay_127_2021-11-30	delay	[0.0, 0.0004389616143133169, 0.0001919940833678669, 0.6162344592338364, 0.0003839881667357338, -0.9180322901294807, 0.0, -0.92466168252406, 0.0, 0.00019690975186334572, 0.0, 0.0005266743215689798, 0.4166071284362789, 0.00014274456944296637, -1.4162370826057715, 0.0001919940833678669, 35.05437792672683]
delay_128_2021-11-30	delay	[0.0, 0.0004596149810519837, 0.00020102750243266104, -1.1908858321166966, 0.0004020550048653221, 0.6231889230130659, 0.0, -0.5194761015330837, 0.0, 0.0002061744556256906, 0.0, 0.0005514546157006635, 0.14243568962422548, 0.00014946077388209618, -2.664726954418156, 0.00020102750243266104, 37.22316422086862]
delay_129_2021-11-30	delay	[0.0, 0.0003968652446999635, 0.0001735818722917935, -0.5185962935631464, 0.000347163744583587, 0.05462584006885994, 0.0, -0.5694729905781166, 0.0, 0.00017802612872950936, 0.0, 0.00047616631316074363, -0.14143861133469335, 0.00012905538123235202, 0.35346701888878257, 0.0001735818722917935, 31.05865216598991]
delay_12_2021-11-30	delay	[0.0, 0.00015766248532704758, 0.0001723969896503314, 1.2137981557694673, 0.0003447939793006628, -0.4535479763171403, 0.0, -0.4240422973292386, 0.0, 0.00017681090926636347, 0.0, 0.00031527731123065424, 0.21606018519227618, 0.00012817443969744083, 1.3926771452161555, 0.0001723969896503314, -1.1958912183981807]
delay_130_2021-11-30	delay	[0.0, 0.0003663615403078588, 0.00016024008892595614, 3.777002584093674, 0.0003204801778519123, -0.05315319154796639, 0.0, -1.612933903794127, 0.0, 0.00016434275262802874, 0.0, 0.0004395674004262342, 1.1091996775355484, 0.00011913597596344713, -0.32871335443870586, 0.00016024008892595614, 29.45629672963107]
delay_131_2021-11-30	delay	[0.0, 0.00041875946441512994, 0.00018315801860664574, -0.8965849580644487, 0.00036631603721329147, -0.21831368842846113, 0.0, -1.5323728212990493, 0.0, 0.00018784745531201508, 0.0, 0.0005024354058075027, 1.0038246639644017, 0.00013617509481236544, -0.7236371302007397, 0.00018315801860664574, 32.62059418507384]
delay_132_2021-11-30	delay	[0.0, 0.0003880283942141128, 0.00016971678943815066, 0.3146563444125472, 0.0003394335788763013, -0.250312572109477, 0.0, -0.9625904756293752, 0.0, 0.00017406208727421178, 0.0, 0.0004655636953402252, 0.38115938492883883, 0.00012618175315941017, -0.27260060663872876, 0.00016971678943815066, 30.976585468395815]
delay_133_2021-11-30	delay	[0.0, 0.0004705666208758742, 0.00020581755691761216, -0.2051198452158899, 0.0004116351138352243, -1.0396748288223367, 0.0, -1.2757084434974886, 0.0, 0.0002110871509728509, 0.0, 0.000564594597162, 0.9037619704332083, 0.00015302210375783303, -2.7651635520460087, 0.00020581755691761216, 38.56192872721343]
delay_134_2021-11-30	delay	[0.0, 0.00044280552156545223, 0.00019367534073835317, -0.39933967897274414, 0.00038735068147670635, 0.3456510349606852, 0.0, -1.0057720890121724, 0.0, 0.0001986340548514048, 0.0, 0.0005312863130921097, 0.5449543462400969, 0.00014399455775126777, -1.868559828805677, 0.00019367534073835317, 36.150747601399246]
delay_135_2021-11-30	delay	[0.0, 0.0004014921185629895, 0.0001756055854758724, -0.2981382516665883, 0.0003512111709517448, -0.35862504282352287, 0.0, -0.8728419384680719, 0.0, 0.0001801016555058009, 0.0, 0.0004817177226082565, 0.3140590488204299, 0.00013055998003076345, -0.5418305399650148, 0.0001756055854758724, 31.678262836583727]
