ids	maltype	system calls hashing_1gram
delay_12_2021-11-30	delay	[0.0, 0.8095807000595849, 0.00010428306262280022, 0.0, 0.0, 0.0, 0.00020856612524560044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010428306262280022, 0.0, 0.0, -0.010595159162476503, 0.0, -0.2742018848603909, -0.5188186648546933, 0.0, -0.00020856612524560044, -0.01035530811844406, 0.0, 0.0, 0.0, 0.0, -0.00010428306262280022]
delay_130_2021-11-30	delay	[0.0, 0.8091770475606058, 9.694342181655534e-05, 0.0, 0.0, 0.0, 0.0003393019763579437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.694342181655534e-05, 0.0, 0.0, -0.02347000242178805, 0.0, -0.27482490650775276, -0.5186957784294793, 0.0, -0.00029083026544966605, -0.010363251792189766, 0.0, 0.0, 0.0, 0.0, -9.694342181655534e-05]
delay_131_2021-11-30	delay	[0.0, 0.8089992975665186, 0.00011077933088219841, 0.0, 0.0, 0.0, 0.0003877276580876944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011077933088219841, 0.0, 0.0, -0.024792414251436003, 0.0, -0.27557466350255677, -0.5185137361272179, 0.0, -0.0003323379926465952, -0.010357867437485551, 0.0, 0.0, 0.0, 0.0, -0.00011077933088219841]
delay_132_2021-11-30	delay	[0.0, 0.8093039088703232, 0.0001026566427609624, 0.0, 0.0, 0.0, 0.0003592982496633684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001026566427609624, 0.0, 0.0, -0.02410377972027397, 0.0, -0.27457572239274614, -0.5186008278998299, 0.0, -0.0003079699282828872, -0.010358055254581106, 0.0, 0.0, 0.0, 0.0, -0.0001026566427609624]
delay_133_2021-11-30	delay	[0.0, 0.8091432695285619, 0.00012448932558865207, 0.0, 0.0, 0.0, 0.0004357126395602822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012448932558865207, 0.0, 0.0, -0.027288060169032534, 0.0, -0.2753205924718629, -0.518298858155794, 0.0, -0.0003734679767659562, -0.010345062956416986, 0.0, 0.0, 0.0, 0.0, -0.00012448932558865207]
delay_134_2021-11-30	delay	[0.0, 0.8092526441351933, 0.00011714377755930535, 0.0, 0.0, 0.0, 0.00041000322145756874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011714377755930535, 0.0, 0.0, -0.026275349306552193, 0.0, -0.27491301717617783, -0.518396358833194, 0.0, -0.00035143133267791606, -0.010367224313998525, 0.0, 0.0, 0.0, 0.0, -0.00011714377755930535]
delay_135_2021-11-30	delay	[0.0, 0.8093154162002804, 0.00010621494779257184, 0.0, 0.0, 0.0, 0.00037175231727400144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010621494779257184, 0.0, 0.0, -0.02439757350795375, 0.0, -0.27460812602291523, -0.518551996618115, 0.0, -0.0003186448433777155, -0.010355957409775754, 0.0, 0.0, 0.0, 0.0, -0.00010621494779257184]
delay_136_2021-11-30	delay	[0.0, 0.8092881571307257, 0.00011239644974941679, 0.0, 0.0, 0.0, 0.00039338757412295873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011239644974941679, 0.0, 0.0, -0.02544655622326796, 0.0, -0.2745283285129505, -0.5185859794988341, 0.0, -0.00033718934924825033, -0.010374192311871169, 0.0, 0.0, 0.0, 0.0, -0.00011239644974941679]
delay_137_2021-11-30	delay	[0.0, 0.8090606805524734, 0.00021547944724011864, 0.0, 0.0, 0.0, 0.0007541780653404152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00021547944724011864, 0.0, 0.0, -0.038419985442913154, 0.0, -0.27426224044722297, -0.5182819404742953, 0.0, -0.0006464383417203558, -0.010375335384611712, 0.0, 0.0, 0.0, 0.0, -0.00021547944724011864]
delay_138_2021-11-30	delay	[0.0, 0.8098406880665363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011160329768047922, 0.0, -0.27385010859411707, -0.5185868959565798, 0.0, 0.0, -0.010356464478632706, 0.0, 0.0, 0.0, 0.0, 0.0]
delay_139_2021-11-30	delay	[0.0, 0.808724815873591, 0.00019346326556392347, 0.0, 0.0, 0.0, 0.0006771214294737321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00019346326556392347, 0.0, 0.0, -0.035655279843431094, 0.0, -0.27537561220368867, -0.5184138395683675, 0.0, -0.0005803897966917704, -0.010359957870948101, 0.0, 0.0, 0.0, 0.0, -0.00019346326556392347]
