ids	maltype	system calls hashing_1gram
normal_132_2021-12-11	normal	[0.0, 0.7811210656574945, 0.0, 0.020011156188955943, 0.2603808341180004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010032373965111282, 0.0, -0.26595437520972887, -0.5007183570022848, 0.0, 0.0, -0.010000218920351309, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_133_2021-12-11	normal	[0.0, 0.7810806929700588, 0.0, 0.020023940367136353, 0.2603602309900196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010026672048742285, 0.0, -0.2661331633817197, -0.5006965216129029, 0.0, 0.0, -0.010007069561843473, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_134_2021-12-11	normal	[0.0, 0.7814054041706854, 0.0, 0.020010748278778644, 0.2604684680568951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010042489994702372, 0.0, -0.26467846650240395, -0.5009049787748328, 0.0, 0.0, -0.010000071874344601, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_135_2021-12-11	normal	[0.0, 0.780727705358201, 0.0, 0.02003319477718878, 0.26023037724946135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010158320126634748, 0.0, -0.2677736842741901, -0.5004367031241882, 0.0, 0.0, -0.010012025687367282, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_136_2021-12-11	normal	[0.0, 0.7809580609395794, 0.0, 0.020032625904517168, 0.2603193536465265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010030601558467227, 0.0, -0.2667015977530536, -0.5006060813885358, 0.0, 0.0, -0.01001155008352237, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_137_2021-12-11	normal	[0.0, 0.7807239803800433, 0.0, 0.019980461200473674, 0.26022870689048944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010070682480958782, 0.0, -0.2677722538240647, -0.5004485577990739, 0.0, 0.0, -0.009985498136664958, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_138_2021-12-11	normal	[0.0, 0.781085913830877, 0.0, 0.020036107196634862, 0.2603693797100138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01002360992310851, 0.0, -0.26615907014231927, -0.5006693142746462, 0.0, 0.0, -0.010012497273526351, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_139_2021-12-11	normal	[0.0, 0.7812337437070314, 0.0, 0.020001059024568685, 0.2604071501643752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01047381824765367, 0.0, -0.26547195429352227, -0.5007763616624646, 0.0, 0.0, -0.009994382905331495, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_13_2021-12-11	normal	[0.0, 0.7811560981283536, 0.0, 0.020014501688455293, 0.2603793093014656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010029963624173693, 0.0, -0.2658212913765381, -0.5007350318024975, 0.0, 0.0, -0.010002708288238437, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_140_2021-12-11	normal	[0.0, 0.7811586285680349, 0.0, 0.02002864461334531, 0.260382752135381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010226951625457522, 0.0, -0.26581776496676, -0.5007264874955247, 0.0, 0.0, -0.010009136225726682, 0.0, 0.0, 0.0, 0.0, 0.0]
