ids	maltype	system calls tfidf_1gram-scaled
normal_147_2021-12-11	normal	[0.20085321362683892, 0.0, 0.0, 0.3771722222705705, 0.0, -0.3602409423888152, -0.35760215857470123, 0.27716952077052814, 0.0, 0.0, 0.0, 0.0, -0.11126786216862228, 0.0, -0.01257249480032337, 0.0, -0.384231491682237]
normal_148_2021-12-11	normal	[-0.9135427722213372, 0.0, 0.0, -0.585071865049489, 0.0, -0.3225632437696325, -0.32317119148969337, -1.088153464150114, 0.0, 0.0, 0.0, 0.0, 1.2723732316692014, 0.0, -1.4588315856317735, 0.0, -0.3175386714747612]
normal_149_2021-12-11	normal	[0.705872164149734, 0.0, 0.0, -0.585071865049489, 0.0, -0.276096124550237, -0.2710509707604294, 0.5833580533304138, 0.0, 0.0, 0.0, 0.0, -0.561313749333806, 0.0, 0.667280262732767, 0.0, -0.34472844074423675]
normal_14_2021-12-11	normal	[0.4344448494925466, 0.0, 0.0, -0.585071865049489, 0.0, -0.3575038942285982, -0.35890670369551964, 0.5252382796497856, 0.0, 0.0, 0.0, 0.0, -0.42239912331645374, 0.0, 0.45538408716049467, 0.0, -0.4381848789733409]
normal_150_2021-12-11	normal	[0.8832005540904255, 0.0, 0.0, -0.585071865049489, 0.0, -0.30733968439567055, -0.3017850810086505, 0.5328598272094794, 0.0, 0.0, 0.0, 0.0, -0.40876876552652774, 0.0, 0.19787768078440793, 0.0, -0.21137137561259647]
normal_151_2021-12-11	normal	[0.616931622347295, 0.0, 0.0, -0.3193935917355543, 0.0, -0.24826038097623487, -0.24983874100721382, 0.3718552511086454, 0.0, 0.0, 0.0, 0.0, -0.31749474773597375, 0.0, 0.30416899880076986, 0.0, -0.33027047996238623]
normal_152_2021-12-11	normal	[-2.3689577024198725, 0.0, 0.0, -0.585071865049489, 0.0, -0.32488513109334455, -0.3265332382600043, -2.6248892684256595, 0.0, 0.0, 0.0, 0.0, 2.6493109728373483, 0.0, -2.381614645677812, 0.0, -0.1653834907207035]
normal_153_2021-12-11	normal	[1.2832750264166182, 0.0, 0.0, -0.585071865049489, 0.0, -0.3316262238548679, -0.32686935190674243, 0.9713584587342068, 0.0, 0.0, 0.0, 0.0, -0.7432376585818685, 0.0, 0.29089038609049056, 0.0, -0.4003311681865489]
normal_154_2021-12-11	normal	[0.6942661271152657, 0.0, 0.0, -0.4018817130966063, 0.0, -0.2735073093848258, -0.2720513670730029, 0.40218417386602345, 0.0, 0.0, 0.0, 0.0, -0.3592130297782432, 0.0, 0.3709585109843889, 0.0, -0.3029620469314012]
normal_155_2021-12-11	normal	[0.7998407146229658, 0.0, 0.0, 0.8753274279526227, 0.0, -0.3312573998441258, -0.32886948669232025, 0.4984100336519585, 0.0, 0.0, 0.0, 0.0, -0.562434987185019, 0.0, 0.883389979106241, 0.0, -0.4046609226907207]
normal_156_2021-12-11	normal	[0.2550981133380924, 0.0, 0.0, -0.4178726556124424, 0.0, 2.119099630399572, 2.1184658669548804, 0.33477631348238696, 0.0, 0.0, 0.0, 0.0, -0.8404513804172269, 0.0, 0.4532590220047446, 0.0, 2.017699204802925]
normal_157_2021-12-11	normal	[0.4182854337487143, 0.0, 0.0, -0.4788501424226191, 0.0, -0.3505284120863119, -0.3521141268486079, 0.5080773646505552, 0.0, 0.0, 0.0, 0.0, -0.4592078290047696, 0.0, 0.6195215317615651, 0.0, -0.39135166840518326]
normal_158_2021-12-11	normal	[1.0119762100281866, 0.0, 0.0, 3.1654971604944335, 0.0, -0.30570120499013853, -0.3048302975988917, 0.9440739379219654, 0.0, 0.0, 0.0, 0.0, -0.8702766549031611, 0.0, 0.8400334983304323, 0.0, -0.3823409602879873]
normal_159_2021-12-11	normal	[0.446123213229519, 0.0, 0.0, -0.585071865049489, 0.0, -0.2688755450879182, -0.267021605574343, 0.5376404240484699, 0.0, 0.0, 0.0, 0.0, -0.5118937986752771, 0.0, 0.6443543327244143, 0.0, -0.15548307893781227]
normal_15_2021-12-11	normal	[-0.1346963446023976, 0.0, 0.0, -0.46013741137859615, 0.0, -0.29278402730067854, -0.2907904616906231, -0.28325142484818583, 0.0, 0.0, 0.0, 0.0, 0.34007777270800404, 0.0, -0.27103927152251295, 0.0, -0.27255589174462896]
normal_160_2021-12-11	normal	[-0.08032546325560026, 0.0, 0.0, -0.585071865049489, 0.0, -0.336579404361788, -0.3315692927105365, 0.20838410871429203, 0.0, 0.0, 0.0, 0.0, -0.13957735524728104, 0.0, 0.26587907654087367, 0.0, -0.03124333745769012]
normal_161_2021-12-11	normal	[-0.9501547006753214, 0.0, 0.0, -0.585071865049489, 0.0, -0.3245982183703578, -0.3250850165646557, -0.9451734955066943, 0.0, 0.0, 0.0, 0.0, 1.0341486798783877, 0.0, -0.9350136273944493, 0.0, -0.31883518366886815]
normal_162_2021-12-11	normal	[-0.4637184919438201, 0.0, 0.0, -0.35866937747877936, 0.0, -0.350250098978412, -0.35050036136946966, -0.24368023395932728, 0.0, 0.0, 0.0, 0.0, 0.45932604064052274, 0.0, -0.6560326244494111, 0.0, -0.2569928160931192]
normal_163_2021-12-11	normal	[0.5676511863167499, 0.0, 0.0, -0.585071865049489, 0.0, -0.4136593287298953, -0.4103867418543386, 0.6667002396574725, 0.0, 0.0, 0.0, 0.0, -0.6737624828096237, 0.0, 1.0120898587100748, 0.0, -0.4346599178720834]
normal_164_2021-12-11	normal	[-0.7963666987971135, 0.0, 0.0, -0.585071865049489, 0.0, -0.35382286767402005, -0.35555634674707304, -0.7818542969605805, 0.0, 0.0, 0.0, 0.0, 0.8258044610055464, 0.0, -0.6105781737439089, 0.0, -0.23524283936631724]
normal_165_2021-12-11	normal	[-0.6219635058573537, 0.0, 0.0, 0.8652220673169331, 0.0, -0.33419704741761763, -0.33555206848983105, -0.5966422560559844, 0.0, 0.0, 0.0, 0.0, 0.561556107331632, 0.0, -0.17322274705159393, 0.0, -0.21128861962030088]
normal_166_2021-12-11	normal	[0.8536813575334661, 0.0, 0.0, -0.45298485737205246, 0.0, -0.351058145639276, -0.34769479831803757, 0.5389400701749701, 0.0, 0.0, 0.0, 0.0, -0.5741008567906458, 0.0, 0.8334339121430928, 0.0, -0.4223505212787469]
normal_167_2021-12-11	normal	[0.20342800657702387, 0.0, 0.0, 1.900200590762166, 0.0, -0.3041664161585826, -0.30584215654166175, 0.27990388961612367, 0.0, 0.0, 0.0, 0.0, -0.2229684441303351, 0.0, 0.32291061130101806, 0.0, -0.3056546354794612]
